"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation"
1.1359564247371,3.10568634148749,8.5581978443969,1.82690360322176e-16,5.63252392598934e-15,26.7606634481675,"PIGW","Up"
-1.81408415865844,2.53437220930904,-8.02140041075422,9.15294076857321e-15,2.07788399150884e-13,22.865361007147,"TSPAN7","Down"
1.10580228285686,5.45799091276898,7.49736489943095,3.49755170473739e-13,5.70138135869053e-12,19.2608453574041,"BMP1","Up"
-1.11741109769662,3.2935946931606,-6.44394618561051,3.00123773595795e-10,2.77537512541241e-09,12.6968088420063,"TSPAN5","Down"
-0.946548478779001,4.44711059241754,-5.9638907779159,4.98933894131198e-09,3.71485134099725e-08,9.85924864108054,"CPQ","Not significant"
1.91601734120023,1.05459978208204,5.77209449653403,1.46054219733732e-08,9.88510958030027e-08,9.23558533472554,"EVA1A","Up"
0.687838608067985,5.32961681546731,5.68110831020269,2.40703586607197e-08,1.5608552930944e-07,8.38336652129718,"PIGU","Not significant"
-1.04287361652417,3.31057477842158,-5.17061587334683,3.51840585805901e-07,1.83939041156732e-06,5.8604597889757,"PDGFD","Down"
-0.900306892459493,3.48727259199332,-4.7582197385223,2.63615538841344e-06,1.15841150033436e-05,3.94007723078439,"EVA1C","Not significant"
-0.467275715595003,4.46291901724823,-4.03059436900352,6.5332801284342e-05,0.00021441304649389,0.794445436620774,"TSPAN31","Not significant"
-0.354936433378692,5.81283421227682,-3.77797262097434,0.000179375835815579,0.000532463373150351,-0.259687500421714,"PIGS","Not significant"
0.446599182493355,8.41630826855263,3.72870838217522,0.000217040993341028,0.000632988035965848,-0.431310387449528,"ITGB1","Not significant"
-0.440539487498851,6.60898217330523,-3.51416744238917,0.000485816691763013,0.00130783014193335,-1.20563119812823,"NDST1","Not significant"
-0.78245541223477,4.79596811449172,-3.38895564656011,0.000763377283828454,0.00195540456705172,-1.56074130112766,"TSPAN18","Not significant"
-0.276956088011239,3.92373367536003,-3.06925959810003,0.00227571545583943,0.00523271127398374,-2.40768147799241,"PIGV","Not significant"
0.359953367581308,5.34474984486806,2.89985695748478,0.0039162054391982,0.00852628814220432,-3.02559591705754,"PIGO","Not significant"
-0.372694247315365,4.43838298677531,-2.41880314945375,0.0159677440920993,0.0298601101688111,-4.23764500948093,"TSPAN4","Not significant"
0.284845915050117,7.84456809092066,2.40719501250046,0.0164775922432555,0.0307123398544463,-4.40055389202309,"PIGT","Not significant"
0.581072784165906,2.65451093283894,2.28766001076919,0.0226207946987587,0.0406247455406843,-4.16171173651157,"TGFB2","Not significant"
-0.334224461778334,4.82042312025322,-2.20494629674546,0.0279633599040439,0.0489582454078684,-4.76839950434556,"TSPAN9","Not significant"
0.268661865839386,7.13553425095559,2.0941036895851,0.0368100223652937,0.062380001404932,-5.10424056652058,"ITGAV","Not significant"
0.237910780561156,6.33392706114487,1.58258199175294,0.114219806431852,0.166131000850049,-6.02146916629894,"TSPAN15","Not significant"
0.121863342374709,5.06284043023009,1.44366439133122,0.149529698064727,0.209801626540226,-6.12695595118623,"PIGK","Not significant"
0.154008654898718,6.76733676669366,1.32132752732628,0.187064079892964,0.254202101472144,-6.4103450048342,"ITGB5","Not significant"
0.107026707308306,4.5643678548266,1.17202556522521,0.241807359027714,0.316360498837232,-6.4056436076413,"PIGX","Not significant"
0.107054809444951,6.83974228605978,1.15846922276554,0.247287466312591,0.322456458710563,-6.61234793804192,"TSPAN14","Not significant"
0.218339270253286,6.7391831622812,1.12794911893725,0.259942859753947,0.336382437294969,-6.64404388991281,"ITGA5","Not significant"
-0.17525173046685,2.571353509372,-0.838731331429031,0.402065715527428,0.483326822479772,-6.45391938485557,"PIGZ","Not significant"
0.245881493946072,0.631736265329722,0.50045743982534,0.616997854761883,0.68544146050232,-6.4363786806619,"WNT11","Not significant"
-0.0573991792249933,2.78121909832353,-0.292144713557344,0.770310716509784,0.816905744970546,-6.77095893002358,"ITGB3","Not significant"
