"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","is_validated"
-2.28754529519537,3.70067397937373,-11.7673851534649,4.71158497228829e-28,1.33695586167358e-25,52.9087590525395,"IGFBP6","Down","Other"
1.8685485001229,3.77029182577988,11.7650423781854,4.81266264315275e-28,1.34080781238236e-25,52.7825946575778,"MIR4435-2HG","Up","Other"
-2.95856126701174,0.794166135724183,-11.6804182231257,1.03449651167004e-27,2.83064108005715e-25,52.1156027857325,"PYGM","Down","Other"
-1.29074711370658,4.87768765294134,-11.6458113187862,1.41345187504416e-27,3.77799414305618e-25,51.8106609623667,"ALDH6A1","Down","Other"
-2.26120742570689,0.426402731390266,-11.6445173084431,1.43003106635292e-27,3.77799414305618e-25,51.7250681076441,"MPZ","Down","Other"
-3.00072675609519,1.43224313308982,-11.628473795232,1.65238594874902e-27,4.29144235469175e-25,51.6882071073272,"SLC2A4","Down","Other"
-0.889011494283347,5.68110040631822,-11.5841506340049,2.46194503113919e-27,6.28739728535764e-25,51.254999865762,"STX12","Not significant","Other"
-1.12356165695942,5.02394254549885,-11.5660501098889,2.89664707120336e-27,7.27628247082773e-25,51.1008551789083,"SMDT1","Down","Other"
-1.80902471425313,4.84600084291479,-11.555350010079,3.18869873414947e-27,7.88071462957618e-25,51.0013068860208,"CBR1","Down","Other"
-1.99062240080132,1.1583421775317,-11.5287406288188,4.04828051972977e-27,9.84631784187607e-25,50.7530866043703,"LRRC4","Down","Other"
-2.803687936614,2.07385795250608,-11.4746636007291,6.56958196654833e-27,1.57290163239719e-24,50.3331721902716,"MMRN1","Down","Other"
-0.944485022510967,2.7176658297909,-11.4622118673021,7.34309586213072e-27,1.73105012146814e-24,50.2143126864512,"CRADD","Not significant","Other"
-7.24783290699633,1.19443261193773,-11.4175649286137,1.09391069433056e-26,2.53969599533746e-24,49.8130614744367,"GKN1","Down","Other"
-2.25208734405173,2.00160060962237,-11.406084674683,1.21180857749823e-26,2.77142430343364e-24,49.7281760621335,"EFS","Down","Other"
-2.0995009427099,4.54636380910569,-11.3952119065143,1.33509397334977e-26,3.0084771990645e-24,49.5873805534842,"PTGS1","Down","Other"
-1.90594555333328,4.67389444224686,-11.3779480908755,1.55696487819525e-26,3.45759026501245e-24,49.4350807542598,"SLC25A4","Down","Other"
-1.28956211191457,4.3474566400817,-11.347062873044,2.04922611264028e-26,4.48575596056958e-24,49.181514696207,"ETFDH","Down","Other"
-2.88901451200704,0.707262806102247,-11.3421838196183,2.14004000604168e-26,4.61856802994037e-24,49.1484216276996,"DNASE1L3","Down","Other"
2.3709029576977,6.28948459898222,11.3398546527763,2.18479348135027e-26,4.64966534926808e-24,49.1502192198714,"ECT2","Up","Other"
-1.36131423225863,3.46205607719955,-11.3258193143072,2.47487407714116e-26,5.19486239507316e-24,49.0196395457524,"PMM1","Down","Other"
-1.56322302993217,3.92833919959127,-11.305226488204,2.97116155068573e-26,6.15231195150775e-24,48.8224882657085,"TEF","Down","Other"
-0.868156560444293,6.3876006982898,-11.3013230669134,3.07583345828068e-26,6.28413281083131e-24,48.7565469395044,"HADHB","Not significant","Other"
-2.27879243299224,1.04635612409541,-11.299804894934,3.11752738164973e-26,6.28550948276563e-24,48.7703881725069,"SMIM5","Down","Other"
-3.08300339950343,1.01079464414608,-11.291341931222,3.36046050457234e-26,6.65815696499144e-24,48.7188385801045,"KLF15","Down","Other"
-2.06759631500564,1.70898056922129,-11.2903792870613,3.38925956581174e-26,6.65815696499144e-24,48.7058985951292,"PLAC9","Down","Other"
-3.64819488084115,2.42071305852158,-11.2871265386395,3.48839898720041e-26,6.76616932669265e-24,48.6676384961971,"PLIN4","Down","Other"
