"Gene","Coefficient"
"BMP1",0.0652670570367687
"CPQ",0.0127604266298457
"LEFTY1",-0.0177411250039107
"PDGFD",0.110171464081006
"TGFB2",0.0973062557474276
"TSPAN5",0.0411451313248832
"TSPAN7",0.0688075546860647
"WNT11",0.0213389682867489
